hunt_code,hunt_name,species,sex_type,weapon,hunt_type,season,source_presence,hanumber_res,hanumber_nr,hanumber_total,hunttable_res,hunttable_nr,hunttable_total,utahdraws_res,utahdraws_nr,utahdraws_total,buck_deer_res,buck_deer_nr,buck_deer_total,database_res_reference,database_nr_reference,database_total_reference,recommended_res,recommended_nr,recommended_total,winner_source,confidence,source_support_count,conflicting_sources,database_alignment,recommended_action,decision_reason,hanumber_status,hunttable_status,utahdraws_status,buck_deer_status,database_status,split_bucket,matching_non_database_sources,matching_source_count,matching_res,matching_nr,matching_total,split_review_note,remaining_unresolved_bucket,remaining_review_required,reviewed_hunt_name,reviewed_species,reviewed_usable_reviewed_source_count,reviewed_usable_reviewed_value_source_count,reviewed_usable_reviewed_unique_value_count,reviewed_reviewed_consensus_res,reviewed_reviewed_consensus_nr,reviewed_reviewed_consensus_total,reviewed_reviewed_consensus_source_count,reviewed_reviewed_consensus_status,reviewed_all_reviewed_values,reviewed_usable_source_files,reviewed_all_source_roles,reviewed_permit_resolution_status,reviewed_permit_resolution_note
EA1054,"Nine Mile, West Anthro",Elk,Antlerless,Any Legal Weapon,General Season,Dec 13 2025 - Dec 30 2025,HANUMBER|HUNTTABLE|DATABASE,45,5,50,90,10,100,,,,,,,45,5,50,45,5,50,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HUNTTABLE,1,90,10,100,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,true,"Nine Mile, West Anthro",Elk,2,2,1,45,5,50,2,REVIEWED_CONSENSUS,45/5/50:2,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 elk antlerless all reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER,SUPPORTS_REVIEWED_VALUE_WITH_REMAINING_CONFLICT,"Reviewed value matches HANUMBER, DATABASE but conflicts with HUNTTABLE."
EA1063,Ogden,Elk,Antlerless,Any Legal Weapon,General Season,Oct 04 2025 - Oct 26 2025,HANUMBER|HUNTTABLE|DATABASE,67,8,75,90,10,100,,,,,,,67,8,75,67,8,75,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HUNTTABLE,1,90,10,100,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,true,Ogden,Elk,2,2,1,67,8,75,2,REVIEWED_CONSENSUS,67/8/75:2,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 elk antlerless all reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER,SUPPORTS_REVIEWED_VALUE_WITH_REMAINING_CONFLICT,"Reviewed value matches HANUMBER, DATABASE but conflicts with HUNTTABLE."
EA1069,Panguitch Lake,Elk,Antlerless,Any Legal Weapon,General Season,Nov 22 2025 - Nov 30 2025,HANUMBER|HUNTTABLE|DATABASE,31,4,35,22,3,25,,,,,,,31,4,35,31,4,35,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HANUMBER,1,31,4,35,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,true,Panguitch Lake,Elk,2,2,1,31,4,35,2,REVIEWED_CONSENSUS,31/4/35:2,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 elk antlerless all reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER,SUPPORTS_REVIEWED_VALUE_WITH_REMAINING_CONFLICT,"Reviewed value matches HANUMBER, DATABASE but conflicts with HUNTTABLE."
EA1129,Deseret CWMU,Elk,Antlerless,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,HANUMBER|HUNTTABLE|DATABASE,425,0,425,,,360,,,,,,,425,0,425,425,0,425,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,true_source_conflicts,HANUMBER,1,425,0,425,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,true,Deseret CWMU,Elk,2,2,1,425,0,425,2,REVIEWED_CONSENSUS,425/0/425:2,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 elk antlerless all reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER,SUPPORTS_REVIEWED_VALUE_WITH_REMAINING_CONFLICT,"Reviewed value matches HANUMBER, DATABASE but conflicts with HUNTTABLE."
EA1134,Ensign Ranches CWMU,Elk,Antlerless,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,HANUMBER|HUNTTABLE|DATABASE,60,0,60,,,48,,,,,,,60,0,60,60,0,60,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,true_source_conflicts,HANUMBER,1,60,0,60,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,true,Ensign Ranches CWMU,Elk,2,2,1,60,0,60,2,REVIEWED_CONSENSUS,60/0/60:2,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 elk antlerless all reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER,SUPPORTS_REVIEWED_VALUE_WITH_REMAINING_CONFLICT,"Reviewed value matches HANUMBER, DATABASE but conflicts with HUNTTABLE."
EA1139,Hardscrabble CWMU,Elk,Antlerless,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,HANUMBER|HUNTTABLE|DATABASE,10,0,10,,,5,,,,,,,10,0,10,10,0,10,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,true_source_conflicts,HANUMBER,1,10,0,10,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,true,Hardscrabble CWMU,Elk,2,2,1,10,0,10,2,REVIEWED_CONSENSUS,10/0/10:2,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 elk antlerless all reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER,SUPPORTS_REVIEWED_VALUE_WITH_REMAINING_CONFLICT,"Reviewed value matches HANUMBER, DATABASE but conflicts with HUNTTABLE."
EA1149,Minnie Maud Ridge CWMU,Elk,Antlerless,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,HANUMBER|HUNTTABLE|DATABASE,15,0,15,,,16,,,,,,,15,0,15,15,0,15,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,true_source_conflicts,HANUMBER,1,15,0,15,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,true,Minnie Maud Ridge CWMU,Elk,2,2,1,15,0,15,2,REVIEWED_CONSENSUS,15/0/15:2,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 elk antlerless all reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER,SUPPORTS_REVIEWED_VALUE_WITH_REMAINING_CONFLICT,"Reviewed value matches HANUMBER, DATABASE but conflicts with HUNTTABLE."
EA1193,"Cache, Rich",Elk,Antlerless,Any Legal Weapon,General Season,Nov 15 2025 - Jan 10 2026,HANUMBER|HUNTTABLE|DATABASE,18,2,20,31,4,35,,,,,,,18,2,20,18,2,20,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HUNTTABLE,1,31,4,35,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,true,"Cache, Rich",Elk,2,2,1,18,2,20,2,REVIEWED_CONSENSUS,18/2/20:2,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 elk antlerless all reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER,SUPPORTS_REVIEWED_VALUE_WITH_REMAINING_CONFLICT,"Reviewed value matches HANUMBER, DATABASE but conflicts with HUNTTABLE."
EA1208,Nebo,Elk,Antlerless,Any Legal Weapon,General Season,Nov 15 2025 - Jan 18 2026,HANUMBER|HUNTTABLE|DATABASE,247,28,275,292,33,325,,,,,,,247,28,275,247,28,275,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HUNTTABLE,1,292,33,325,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,true,Nebo,Elk,2,2,1,247,28,275,2,REVIEWED_CONSENSUS,247/28/275:2,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 elk antlerless all reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER,SUPPORTS_REVIEWED_VALUE_WITH_REMAINING_CONFLICT,"Reviewed value matches HANUMBER, DATABASE but conflicts with HUNTTABLE."
EA1222,"Beaver, East",Elk,Antlerless,Any Legal Weapon,General Season,Nov 22 2025 - Dec 12 2025,HANUMBER|HUNTTABLE|DATABASE,27,3,30,36,4,40,,,,,,,27,3,30,27,3,30,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HUNTTABLE,1,36,4,40,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,true,"Beaver, East",Elk,2,2,1,27,3,30,2,REVIEWED_CONSENSUS,27/3/30:2,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 elk antlerless all reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER,SUPPORTS_REVIEWED_VALUE_WITH_REMAINING_CONFLICT,"Reviewed value matches HANUMBER, DATABASE but conflicts with HUNTTABLE."
EA1223,"Beaver, East",Elk,Antlerless,Any Legal Weapon,General Season,Dec 13 2025 - Dec 27 2025,HANUMBER|HUNTTABLE|DATABASE,27,3,30,36,4,40,,,,,,,27,3,30,27,3,30,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HUNTTABLE,1,36,4,40,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,true,"Beaver, East",Elk,2,2,1,27,3,30,2,REVIEWED_CONSENSUS,27/3/30:2,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 elk antlerless all reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER,SUPPORTS_REVIEWED_VALUE_WITH_REMAINING_CONFLICT,"Reviewed value matches HANUMBER, DATABASE but conflicts with HUNTTABLE."
EA1251,"Southwest Desert, Burbank/Garrison",Elk,Antlerless,Any Legal Weapon,General Season,Aug 01 2025 - Aug 15 2025,HANUMBER|HUNTTABLE|DATABASE,13,2,15,11,1,12,,,,,,,13,2,15,13,2,15,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HANUMBER,1,13,2,15,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,true,"Southwest Desert, Burbank/Garrison",Elk,2,2,1,13,2,15,2,REVIEWED_CONSENSUS,13/2/15:2,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 elk antlerless all reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER,SUPPORTS_REVIEWED_VALUE_WITH_REMAINING_CONFLICT,"Reviewed value matches HANUMBER, DATABASE but conflicts with HUNTTABLE."
