game_family,species,sex_type,hunt_code,hunt_name,hunt_type,draw_design,weapon,season,boundary_id,permits_2026_res,permits_2026_nr,permits_2026_total,source_file
Deer | Antlerless,Deer,Antlerless,DA1001,"Box Elder, West Bear River",General Season,Preference,"Archery, Muzzleloader, Shotgun",Aug 18 2026 - Aug 30 2026,28,,,30,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Antlerless
Elk | Antlerless,Elk,Antlerless,EA1037,Dolores Triangle,General Season,Preference,Any Legal Weapon,Dec 12 2026 - Jan 31 2027,108,45,5,50,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
Elk | Antlerless,Elk,Antlerless,EA1038,La Sal Mtns,General Season,Preference,Any Legal Weapon,Oct 03 2026 - Oct 15 2026,617,180,20,200,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
Elk | Antlerless,Elk,Antlerless,EA1039,La Sal Mtns,General Season,Preference,Any Legal Weapon,Nov 19 2026 - Dec 31 2026,617,135,15,150,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
Elk | Antlerless,Elk,Antlerless,EA1044,"Morgan-South Rich, South Rich",General Season,Preference,Any Legal Weapon,Dec 01 2026 - Jan 31 2027,122,31,4,35,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
Elk | Antlerless,Elk,Antlerless,EA1053,"Nine Mile, West Anthro",General Season,Preference,Any Legal Weapon,Jan 16 2027 - Jan 24 2027,132,45,5,50,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
Elk | Antlerless,Elk,Antlerless,EA1054,"Nine Mile, West Anthro",General Season,Preference,Any Legal Weapon,Dec 12 2026 - Dec 31 2026,132,90,10,100,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
Elk | Antlerless,Elk,Antlerless,EA1056,"North Slope, Greendale",General Season,Preference,Any Legal Weapon,Nov 14 2026 - Nov 29 2026,134,4,1,5,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
Elk | Antlerless,Elk,Antlerless,EA1058,"North Slope, Henry's Fork-Burnt Fork",General Season,Preference,Any Legal Weapon,Nov 07 2026 - Jan 30 2027,135,90,10,100,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
Elk | Antlerless,Elk,Antlerless,EA1060,"North Slope, West Daggett",General Season,Preference,Muzzleloader,Oct 28 2026 - Nov 05 2026,142,18,2,20,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
Elk | Antlerless,Elk,Antlerless,EA1061,"North Slope, West Daggett",General Season,Preference,Muzzleloader,Sept 23 2026 - Oct 01 2026,142,18,2,20,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
Elk | Antlerless,Elk,Antlerless,EA1063,Ogden,General Season,Preference,Any Legal Weapon,Oct 03 2026 - Oct 25 2026,609,90,10,100,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
Elk | Antlerless,Elk,Antlerless,EA1064,Ogden,General Season,Preference,Any Legal Weapon,Nov 07 2026 - Nov 29 2026,609,67,8,75,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
Elk | Antlerless,Elk,Antlerless,EA1069,Panguitch Lake,General Season,Preference,Any Legal Weapon,Nov 21 2026 - Nov 29 2026,634,22,3,25,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
Elk | Antlerless,Elk,Antlerless,EA1073,Paunsaugunt,General Season,Preference,Any Legal Weapon,Nov 21 2026 - Dec 31 2026,163,18,2,20,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
Elk | Antlerless,Elk,Antlerless,EA1075,Boulder East,General Season,Preference,Any Legal Weapon,Nov 21 2026 - Dec 31 2026,695,45,5,50,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
Elk | Antlerless,Elk,Antlerless,EA1076,Boulder West,General Season,Preference,Any Legal Weapon,Nov 21 2026 - Dec 31 2026,697,45,5,50,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
Elk | Antlerless,Elk,Antlerless,EA1077,Boulder-Circle Cliffs,General Season,Preference,Any Legal Weapon,Oct 07 2026 - Jan 10 2027,96,27,3,30,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
Elk | Antlerless,Elk,Antlerless,EA1078,Fishlake/Thousand Lakes,General Season,Preference,Any Legal Weapon,Oct 03 2026 - Oct 15 2026,175,243,27,270,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
Elk | Antlerless,Elk,Antlerless,EA1079,Fishlake/Thousand Lakes East,General Season,Preference,Any Legal Weapon,Nov 21 2026 - Dec 30 2026,698,58,7,65,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
Elk | Antlerless,Elk,Antlerless,EA1080,Fishlake/Thousand Lakes West,General Season,Preference,Any Legal Weapon,Nov 21 2026 - Dec 30 2026,699,54,6,60,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
Elk | Antlerless,Elk,Antlerless,EA1081,San Juan,General Season,Preference,Any Legal Weapon,Oct 03 2026 - Oct 15 2026,710,112,13,125,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
Elk | Antlerless,Elk,Antlerless,EA1082,San Juan,General Season,Preference,Any Legal Weapon,Nov 19 2026 - Dec 31 2026,710,112,13,125,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
Elk | Antlerless,Elk,Antlerless,EA1084,"San Rafael, North",General Season,Preference,Any Legal Weapon,Nov 07 2026 - Jan 31 2027,194,4,1,5,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
Elk | Antlerless,Elk,Antlerless,EA1085,Vernal/Bonanza,General Season,Preference,Archery,Aug 15 2026 - Sept 16 2026,614,90,10,100,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
Elk | Antlerless,Elk,Antlerless,EA1087,Vernal/Bonanza,General Season,Preference,Any Legal Weapon,Oct 03 2026 - Oct 16 2026,614,90,10,100,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
Elk | Antlerless,Elk,Antlerless,EA1089,Diamond Mtn,General Season,Preference,Any Legal Weapon,Oct 31 2026 - Nov 08 2026,206,45,5,50,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
Elk | Antlerless,Elk,Antlerless,EA1090,Diamond Mtn,General Season,Preference,Any Legal Weapon,Nov 14 2026 - Nov 22 2026,206,45,5,50,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
Elk | Antlerless,Elk,Antlerless,EA1094,"Vernal, Mosby Mtn",General Season,Preference,Any Legal Weapon,Nov 07 2026 - Jan 03 2027,814,90,10,100,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
Elk | Antlerless,Elk,Antlerless,EA1101,Southwest Desert,General Season,Preference,Any Legal Weapon,Nov 20 2026 - Jan 10 2027,625,90,10,100,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
Elk | Antlerless,Elk,Antlerless,EA1106,"Wasatch Mtns, Avintaquin",General Season,Preference,Any Legal Weapon,Jan 02 2027 - Jan 17 2027,224,180,20,200,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
Elk | Antlerless,Elk,Antlerless,EA1107,"Wasatch Mtns, Currant Creek",General Season,Preference,Any Legal Weapon,Oct 03 2026 - Oct 15 2026,227,180,20,200,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
Elk | Antlerless,Elk,Antlerless,EA1110,"Wasatch Mtns, Salt Lake",General Season,Preference,Any Legal Weapon,Nov 14 2026 - Jan 31 2027,234,40,5,45,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
Elk | Antlerless,Elk,Antlerless,EA1111,"Wasatch Mtns, Wallsburg",General Season,Preference,Any Legal Weapon,Nov 14 2026 - Dec 13 2026,238,31,4,35,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
Elk | Antlerless,Elk,Antlerless,EA1112,"Wasatch Mtns, Wallsburg",General Season,Preference,Any Legal Weapon,Dec 19 2026 - Jan 31 2027,238,49,6,55,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
Elk | Antlerless,Elk,Antlerless,EA1113,"Wasatch Mtns, West Heber",General Season,Preference,Any Legal Weapon,Nov 14 2026 - Jan 31 2027,240,27,3,30,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
Elk | Antlerless,Elk,Antlerless,EA1114,"Wasatch Mtns, West Timpanogos",General Season,Preference,Any Legal Weapon,Nov 14 2026 - Jan 31 2027,480,22,3,25,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
Elk | Antlerless,Elk,Antlerless,EA1117,Zion,General Season,Preference,Any Legal Weapon,Nov 11 2026 - Jan 10 2027,635,198,22,220,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
Elk | Antlerless,Elk,Antlerless,EA1118,Alton CWMU,CWMU,Preference,Any Legal Weapon,Contact Operator for 2026 season dates,526,6,0,6,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
Elk | Antlerless,Elk,Antlerless,EA1119,Bar J Ranch CWMU,CWMU,Preference,Any Legal Weapon,Contact Operator for 2026 season dates,527,12,0,12,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
Elk | Antlerless,Elk,Antlerless,EA1120,Bear Mountain CWMU,CWMU,Preference,Any Legal Weapon,Contact Operator for 2026 season dates,582,20,0,20,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
Elk | Antlerless,Elk,Antlerless,EA1121,Boobe Hole CWMU,CWMU,Preference,Any Legal Weapon,Contact Operator for 2026 season dates,529,10,0,10,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
Elk | Antlerless,Elk,Antlerless,EA1122,Causey Spring CWMU,CWMU,Preference,Any Legal Weapon,Contact Operator for 2026 season dates,560,5,0,5,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
Elk | Antlerless,Elk,Antlerless,EA1124,Chimney Rock CWMU,CWMU,Preference,Any Legal Weapon,Contact Operator for 2026 season dates,732,12,0,12,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
Elk | Antlerless,Elk,Antlerless,EA1125,Coldwater Ranch CWMU,CWMU,Preference,Any Legal Weapon,Contact Operator for 2026 season dates,505,25,0,25,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
Elk | Antlerless,Elk,Antlerless,EA1129,Deseret CWMU,CWMU,Preference,Any Legal Weapon,Contact Operator for 2026 season dates,568,360,0,360,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
Elk | Antlerless,Elk,Antlerless,EA1130,Double Cone CWMU,CWMU,Preference,Any Legal Weapon,Contact Operator for 2026 season dates,516,7,0,7,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
Elk | Antlerless,Elk,Antlerless,EA1131,Durst Mountain CWMU,CWMU,Preference,Any Legal Weapon,Contact Operator for 2026 season dates,567,30,0,30,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
Elk | Antlerless,Elk,Antlerless,EA1132,East Fork Chalk Creek CWMU,CWMU,Preference,Any Legal Weapon,Contact Operator for 2026 season dates,520,30,0,30,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
Elk | Antlerless,Elk,Antlerless,EA1134,Ensign Ranches CWMU,CWMU,Preference,Any Legal Weapon,Contact Operator for 2026 season dates,522,48,0,48,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
Elk | Antlerless,Elk,Antlerless,EA1135,Folley Ridge CWMU,CWMU,Preference,Any Legal Weapon,Contact Operator for 2026 season dates,579,20,0,20,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
Elk | Antlerless,Elk,Antlerless,EA1136,Grass Valley/Clark Canyon CWMU,CWMU,Preference,Any Legal Weapon,Contact Operator for 2026 season dates,525,50,0,50,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
Elk | Antlerless,Elk,Antlerless,EA1137,Grazing Pasture CWMU,CWMU,Preference,Any Legal Weapon,Contact Operator for 2026 season dates,530,9,0,9,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
Elk | Antlerless,Elk,Antlerless,EA1138,Guildersleeve CWMU,CWMU,Preference,Any Legal Weapon,Contact Operator for 2026 season dates,573,20,0,20,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
Elk | Antlerless,Elk,Antlerless,EA1139,Hardscrabble CWMU,CWMU,Preference,Any Legal Weapon,Contact Operator for 2026 season dates,577,5,0,5,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
Elk | Antlerless,Elk,Antlerless,EA1140,Heaston East CWMU,CWMU,Preference,Any Legal Weapon,Contact Operator for 2026 season dates,555,24,0,24,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
Elk | Antlerless,Elk,Antlerless,EA1141,Hiawatha CWMU,CWMU,Preference,Any Legal Weapon,Contact Operator for 2026 season dates,550,12,0,12,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
Elk | Antlerless,Elk,Antlerless,EA1142,Indian Head CWMU,CWMU,Preference,Any Legal Weapon,Contact Operator for 2026 season dates,735,12,0,12,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
Elk | Antlerless,Elk,Antlerless,EA1143,Circle E Ranch CWMU,CWMU,Preference,Any Legal Weapon,Contact Operator for 2026 season dates,549,21,0,21,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
Elk | Antlerless,Elk,Antlerless,EA1145,Johnson Mountain Ranch CWMU,CWMU,Preference,Any Legal Weapon,Contact Operator for 2026 season dates,531,20,0,20,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
Elk | Antlerless,Elk,Antlerless,EA1146,Jump Creek CWMU,CWMU,Preference,Any Legal Weapon,Contact Operator for 2026 season dates,734,9,0,9,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
Elk | Antlerless,Elk,Antlerless,EA1147,Little Red Creek CWMU,CWMU,Preference,Any Legal Weapon,Contact Operator for 2026 season dates,484,15,0,15,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
Elk | Antlerless,Elk,Antlerless,EA1149,Minnie Maud Ridge CWMU,CWMU,Preference,Any Legal Weapon,Contact Operator for 2026 season dates,551,16,0,16,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
Elk | Antlerless,Elk,Antlerless,EA1151,Moon Ranch CWMU,CWMU,Preference,Any Legal Weapon,Contact Operator for 2026 season dates,485,6,0,6,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
Elk | Antlerless,Elk,Antlerless,EA1153,Old Woman Plateau CWMU,CWMU,Preference,Any Legal Weapon,Contact Operator for 2026 season dates,535,4,0,4,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
Elk | Antlerless,Elk,Antlerless,EA1156,Preston Nutter Ranch CWMU,CWMU,Preference,Any Legal Weapon,Contact Operator for 2026 season dates,542,21,0,21,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
Elk | Antlerless,Elk,Antlerless,EA1157,Redd Ranches CWMU,CWMU,Preference,Any Legal Weapon,Contact Operator for 2026 season dates,548,35,0,35,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
Elk | Antlerless,Elk,Antlerless,EA1158,Cactus Ranch LLC CWMU,CWMU,Preference,Any Legal Weapon,Contact Operator for 2026 season dates,517,7,0,7,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
Elk | Antlerless,Elk,Antlerless,EA1159,Roan Cliffs CWMU,CWMU,Preference,Any Legal Weapon,Contact Operator for 2026 season dates,543,6,0,6,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
Elk | Antlerless,Elk,Antlerless,EA1160,Sand Creek CWMU,CWMU,Preference,Any Legal Weapon,Contact Operator for 2026 season dates,740,5,0,5,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
Elk | Antlerless,Elk,Antlerless,EA1161,Scofield Canyons CWMU,CWMU,Preference,Any Legal Weapon,Contact Operator for 2026 season dates,539,9,0,9,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
Elk | Antlerless,Elk,Antlerless,EA1162,Scofield East CWMU,CWMU,Preference,Any Legal Weapon,Contact Operator for 2026 season dates,540,14,0,14,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
Elk | Antlerless,Elk,Antlerless,EA1163,Scofield West CWMU,CWMU,Preference,Any Legal Weapon,Contact Operator for 2026 season dates,541,19,0,19,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
